file,points,patches,inference_time_s,points_per_second
position2_sitting_bottom-barrier_left_0.pcd,51139,13,0.05118786500003125,999045.3792118265
position2_sitting_bottom-barrier_left_180.pcd,51908,13,0.05106147899999769,1016578.4661271239
position2_sitting_bottom-barrier_left_270.pcd,51126,13,0.051017235000017536,1002131.9265926981
position2_sitting_bottom-barrier_left_90.pcd,51899,13,0.051126033000002735,1015118.8534419877
position2_sitting_bottom-barrier_right_0.pcd,51346,13,0.051037111000027835,1006052.2430427537
position2_sitting_bottom-barrier_right_180.pcd,51164,13,0.05095626499996797,1004076.7312916706
position2_sitting_bottom-barrier_right_270.pcd,52499,13,0.0524814120000201,1000335.1281779517
position2_sitting_bottom-barrier_right_90.pcd,51893,13,0.05140407199996844,1009511.4643842196
position2_standing_0.pcd,53461,14,0.054783486000019366,975859.769127892
position2_standing_180.pcd,53655,14,0.05502828999999565,975043.9274054171
position2_standing_270.pcd,53775,14,0.05481914699998924,980952.8776507695
position2_standing_90.pcd,53753,14,0.05484102499997334,980160.381758476
position2_standing_bottom-barrier_center_0.pcd,51185,13,0.05114084899997806,1000863.321608563
position2_standing_bottom-barrier_center_180.pcd,51960,13,0.05098350200000823,1019153.2154851115
position2_standing_bottom-barrier_center_270.pcd,52048,13,0.051137646000029235,1017802.031794155
position2_standing_bottom-barrier_center_90.pcd,51589,13,0.05099400700004253,1011667.9005036214
position2_standing_bottom-barrier_left_0.pcd,51082,13,0.051138654999988375,998892.1296426668
position2_standing_bottom-barrier_left_180.pcd,50148,13,0.05090664099998321,985097.4060538887
position2_standing_bottom-barrier_left_270.pcd,50305,13,0.05111529399999881,984147.7190760395
position2_standing_bottom-barrier_left_90.pcd,52149,13,0.05110569300001089,1020414.6923511807
position2_standing_bottom-barrier_right_0.pcd,51748,13,0.051296131000015066,1008809.0269417162
position2_standing_bottom-barrier_right_180.pcd,51777,13,0.05096924900004751,1015847.8105092688
position2_standing_bottom-barrier_right_270.pcd,51280,13,0.05110042600000497,1003514.139001405
position2_standing_bottom-barrier_right_90.pcd,51843,13,0.05099994999994806,1016530.4083641808
position2_standing_top-barrier-center.pcd,54683,14,0.0548656760000199,996670.4866623746
position2_standing_top-barrier_left.pcd,54312,14,0.05465688300000693,993690.0353427237
position2_standing_top-barrier_right.pcd,54489,14,0.05478148499997815,994660.8785800848
position2_top-barrier.pcd,50768,13,0.05110822200003895,993343.1063197877
position2_tpose_0.pcd,53025,13,0.051025360999972236,1039189.120093219
position2_tpose_180.pcd,53810,14,0.05476821499996731,982504.1769214519
position2_tpose_270.pcd,53888,14,0.05483885600000349,982660.9074411868
position2_tpose_90.pcd,54017,14,0.05498322599999028,982426.8950681349
position2_tpose_bottom-barrier_center_0.pcd,51594,13,0.050868655999977364,1014259.1540068006
position2_tpose_bottom-barrier_center_180.pcd,51506,13,0.0512162690000082,1005657.0110562282
position2_tpose_bottom-barrier_center_270.pcd,52104,13,0.051114433000009285,1019359.8352150465
position2_tpose_bottom-barrier_center_90.pcd,51583,13,0.051218022000000474,1007125.9682773286
position2_tpose_bottom-barrier_left_0.pcd,50440,13,0.05107046400001991,987655.0171931145
position2_tpose_bottom-barrier_left_180.pcd,50099,13,0.05094168600004423,983457.8305860647
position2_tpose_bottom-barrier_left_270.pcd,50567,13,0.05113029699998606,988983.1072175034
position2_tpose_bottom-barrier_left_90.pcd,50094,13,0.0510236420000183,981780.1716306733
position2_tpose_bottom-barrier_right_0.pcd,52015,13,0.05096043000003192,1020693.8991677939
position2_tpose_bottom-barrier_right_180.pcd,51567,13,0.05103035899998076,1010516.1125756423
position2_tpose_bottom-barrier_right_270.pcd,51359,13,0.05111242200001698,1004824.2284426072
position2_tpose_bottom-barrier_right_90.pcd,51617,13,0.050985507000007146,1012385.7354207102
